n,k,d,pca_count,dolev_count,attempts
100,6,33,1000,1000,1000
100,10,33,1000,1000,1000
100,7,34,1000,1000,1000
100,3,34,1000,1000,1000
100,5,34,1000,1000,1000
100,8,34,1000,1000,1000
100,9,34,1000,1000,1000
100,4,34,1000,1000,1000
100,6,34,1000,1000,1000
100,10,34,1000,1000,1000
100,5,35,1000,1000,1000
100,3,35,1000,1000,1000
100,9,35,1000,1000,1000
100,4,35,1000,1000,1000
100,6,35,1000,1000,1000
100,7,35,1000,1000,1000
100,10,35,1000,1000,1000
100,8,35,1000,1000,1000
100,4,36,1000,1000,1000
100,5,36,1000,1000,1000
100,8,36,1000,1000,1000
100,6,36,1000,1000,1000
100,3,36,1000,1000,1000
100,9,36,1000,1000,1000
100,10,36,1000,1000,1000
100,7,36,1000,1000,1000
100,4,37,1000,1000,1000
100,6,37,1000,1000,1000
100,10,37,1000,1000,1000
100,9,37,1000,1000,1000
100,3,37,1000,1000,1000
100,8,37,1000,1000,1000
100,7,37,1000,1000,1000
100,5,37,1000,1000,1000
100,5,38,1000,1000,1000
100,7,38,1000,1000,1000
100,9,38,1000,1000,1000
100,3,38,1000,1000,1000
100,8,38,1000,1000,1000
100,6,38,1000,1000,1000
100,4,38,1000,1000,1000
100,10,38,1000,1000,1000
100,5,39,1000,1000,1000
100,3,39,1000,1000,1000
100,4,39,1000,1000,1000
100,6,39,1000,1000,1000
100,7,39,1000,1000,1000
100,8,39,1000,1000,1000
100,10,39,1000,1000,1000
100,9,39,1000,1000,1000
100,6,40,1000,1000,1000
100,9,40,1000,1000,1000
100,8,40,1000,1000,1000
100,10,40,1000,1000,1000
100,5,40,1000,1000,1000
100,4,40,1000,1000,1000
100,3,40,1000,1000,1000
100,7,40,1000,1000,1000
100,10,41,1000,1000,1000
100,7,41,1000,1000,1000
100,5,41,1000,1000,1000
100,9,41,1000,1000,1000
100,6,41,1000,1000,1000
100,3,41,1000,1000,1000
100,4,41,1000,1000,1000
100,8,41,1000,1000,1000
100,4,42,1000,1000,1000
100,10,42,1000,1000,1000
100,7,42,1000,1000,1000
100,3,42,1000,1000,1000
100,5,42,1000,1000,1000
100,9,42,1000,1000,1000
100,6,42,1000,1000,1000
100,8,42,1000,1000,1000
100,8,43,1000,1000,1000
100,4,43,1000,1000,1000
100,6,43,1000,1000,1000
100,5,43,1000,1000,1000
100,3,43,1000,1000,1000
100,9,43,1000,1000,1000
100,7,43,1000,1000,1000
100,10,43,1000,1000,1000
100,10,44,1000,1000,1000
100,5,44,1000,1000,1000
100,9,44,1000,1000,1000
100,3,44,1000,1000,1000
100,6,44,1000,1000,1000
100,7,44,1000,1000,1000
100,4,44,1000,1000,1000
100,8,44,1000,1000,1000
100,5,45,1000,1000,1000
100,4,45,1000,1000,1000
100,8,45,1000,1000,1000
100,6,45,1000,1000,1000
100,3,45,1000,1000,1000
100,7,45,1000,1000,1000
100,9,45,1000,1000,1000
100,10,45,1000,1000,1000
100,3,46,1000,1000,1000
100,5,46,1000,1000,1000
100,7,46,1000,1000,1000
100,6,46,1000,1000,1000
